Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Assignee,Labels
Story,"US-EP2-01 — Driver views conversation list","User Story:\nAs a Company Driver, I want to see a list of my conversations with dispatchers, so that I can quickly find and access messages.\n\nScope Notes:\nList view only; individual thread view in US-EP2-02.\n\nPRD Requirement(s): FR-2\n\nDependencies:\n- EP-1 (messaging backend)\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Allow driver to quickly scan and access conversations\n- Show unread indicator and most recent message preview\nDesign Constraints:\n- Minimal distraction — driver-first UX\n- Must be accessible when vehicle is stopped\n- Consistent with EW Navigation design system\n\nAcceptance Criteria:\n- Given I am logged into EW Navigation with a company linkage\n  When I open the chat section\n  Then I see a list of conversations sorted by most recent message\n- Given I have no conversations\n  When I open the chat section\n  Then I see an empty state indicating no messages yet","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,prio_must,phase_1"
Story,"US-EP2-02 — Driver views message thread","User Story:\nAs a Company Driver, I want to open a conversation and see the full message history, so that I can read what the dispatcher sent.\n\nScope Notes:\nRead-only view; compose in US-EP2-03.\n\nPRD Requirement(s): FR-2\n\nDependencies:\n- US-EP2-01\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display messages in a clear, chronological thread\n- Show sender identity and timestamps\nDesign Constraints:\n- Scrollable for long conversations\n- Readable typography for in-vehicle use\n- Consistent with EW Navigation design system\n\nAcceptance Criteria:\n- Given I select a conversation from the list\n  When the thread opens\n  Then I see all messages in chronological order with timestamps\n- Given the conversation has many messages\n  When I scroll\n  Then older messages load without performance issues","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,prio_must,phase_1"
Story,"US-EP2-03 — Driver sends a message","User Story:\nAs a Company Driver, I want to compose and send a text message to the dispatcher, so that I can reply or ask questions.\n\nScope Notes:\nText only; attachments in EP-6.\n\nPRD Requirement(s): FR-2\n\nDependencies:\n- US-EP2-02, EP-1\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add compose area to message thread screen\n- Simple text input with send button\nDesign Constraints:\n- Keyboard handling for mobile\n- Minimal interaction while driving (designed for use at stops)\n\nAcceptance Criteria:\n- Given I am in a conversation thread\n  When I type a message and tap send\n  Then the message is submitted and appears in the thread\n- Given I send a message\n  When it is delivered\n  Then the dispatcher receives it in <5s (P95)","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,prio_must,phase_1"
Story,"US-EP2-04 — Driver sees dispatcher context","User Story:\nAs a Company Driver, I want to see who is messaging me (dispatcher name/role), so that I know who I am communicating with.\n\nScope Notes:\nDisplay dispatcher identity; derived from CIAM.\n\nPRD Requirement(s): FR-6 (partial)\n\nDependencies:\n- CIAM, US-EP2-02\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Display dispatcher name in conversation header\nDesign Constraints:\n- Consistent with EW Navigation header patterns\n\nAcceptance Criteria:\n- Given I open a conversation\n  When the thread loads\n  Then I see the dispatcher's name or identifier in the header","","Driver Chat Experience","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-6,prio_should,phase_1"
Story,"US-EP3-01 — Dispatcher views driver list for chat","User Story:\nAs a Dispatcher, I want to see a list of drivers linked to my company, so that I can select one to message.\n\nScope Notes:\nUses existing EW Office driver list; no new driver management.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- CIAM (company linkage), existing driver list API\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add chat entry point to existing driver list or new chat panel\n- Allow quick driver selection for messaging\nDesign Constraints:\n- Consistent with EW Office design system\n- Accessible and filterable for large driver lists\n\nAcceptance Criteria:\n- Given I am logged into EW Office\n  When I open the chat section\n  Then I see a list of drivers linked to my company\n- Given I have many drivers\n  When I scroll or search\n  Then the list loads and filters responsively","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-02 — Dispatcher initiates a new chat","User Story:\nAs a Dispatcher, I want to select a driver and start a new conversation, so that I can send them a message.\n\nScope Notes:\n1:1 chat only; broadcast in EP-8.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- US-EP3-01, EP-1\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Add 'Start Chat' action to driver list/card\n- Open chat panel or modal for new conversation\nDesign Constraints:\n- Consistent with EW Office interaction patterns\n\nAcceptance Criteria:\n- Given I select a driver from the list\n  When I click 'Start Chat' (or equivalent)\n  Then a new conversation is created and I can compose a message\n- Given I start a chat with a driver I've messaged before\n  When the conversation opens\n  Then I see the existing conversation history","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-03 — Dispatcher views conversation list","User Story:\nAs a Dispatcher, I want to see a list of my active conversations, so that I can manage ongoing communication with drivers.\n\nScope Notes:\nList view with recent message preview.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- EP-1, EP-5\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display conversation list with unread indicators and previews\n- Enable quick navigation to active conversations\nDesign Constraints:\n- Real-time updates when new messages arrive\n- Consistent with EW Office design system\n\nAcceptance Criteria:\n- Given I open the chat section\n  When conversations exist\n  Then I see a list sorted by most recent message with preview text\n- Given a new message arrives\n  When I am viewing the list\n  Then the list updates in real-time","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-04 — Dispatcher views message thread","User Story:\nAs a Dispatcher, I want to open a conversation and see the full message history with a driver, so that I can read their responses.\n\nScope Notes:\nRead + compose.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- US-EP3-03\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display messages in chronological thread format\n- Include compose area for replies\nDesign Constraints:\n- Scrollable for long conversations\n- Real-time updates when new messages arrive\n\nAcceptance Criteria:\n- Given I select a conversation\n  When the thread opens\n  Then I see all messages in chronological order\n- Given the conversation updates while open\n  When a new message arrives\n  Then it appears in the thread in real-time","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-05 — Dispatcher sends a message","User Story:\nAs a Dispatcher, I want to compose and send a text message to a driver, so that I can give instructions or updates.\n\nScope Notes:\nText only; attachments in EP-6.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- US-EP3-04, EP-1\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add compose area with text input and send button\nDesign Constraints:\n- Keyboard shortcuts for efficiency (Enter to send, etc.)\n\nAcceptance Criteria:\n- Given I am in a conversation thread\n  When I type a message and click send\n  Then the message is submitted and appears in the thread\n- Given I send a message\n  When it is delivered\n  Then the driver receives it in <5s (P95)","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-06 — Dispatcher sees driver/vehicle context","User Story:\nAs a Dispatcher, I want to see driver name and associated vehicle in the conversation, so that I have context for my communication.\n\nScope Notes:\nDisplay only; no editing of driver/vehicle data.\n\nPRD Requirement(s): FR-6\n\nDependencies:\n- EWO driver/vehicle data\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Display driver name and vehicle info in conversation header or sidebar\nDesign Constraints:\n- Use existing driver/vehicle data components where possible\n\nAcceptance Criteria:\n- Given I open a conversation with a driver\n  When the thread loads\n  Then I see the driver's name and associated vehicle (if available) in the header or sidebar","","Dispatcher Chat Experience","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-6,prio_should,phase_1"
Story,"US-EP4-01 — Driver receives push notification for new message","User Story:\nAs a Company Driver, I want to receive a push notification when a dispatcher sends me a message, so that I am aware of new communication even when the app is in background.\n\nScope Notes:\niOS (APNs) and Android (FCM).\n\nPRD Requirement(s): FR-4\n\nDependencies:\n- EP-1, INFRA (notification service)\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Design notification content (title, body, icon)\n- Define deep link behavior to conversation\nDesign Constraints:\n- Follow iOS and Android notification guidelines\n- Clear, actionable notification text\n\nAcceptance Criteria:\n- Given my device has push notifications enabled\n  When a dispatcher sends me a message\n  Then I receive a push notification within 10s\n- Given I receive a notification\n  When I tap it\n  Then the app opens to the relevant conversation","","Push Notifications","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-4,fr_FR-4,prio_must,phase_1"
Story,"US-EP4-02 — Driver push notification permission handling","User Story:\nAs a Company Driver, I want to be prompted to enable push notifications, so that I don't miss important messages.\n\nScope Notes:\nIn-app prompt; graceful handling if denied.\n\nPRD Requirement(s): FR-4\n\nDependencies:\nNone\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Design permission prompt UI with clear value proposition\n- Design fallback state if permission denied\nDesign Constraints:\n- Follow platform permission best practices\n- Non-intrusive timing\n\nAcceptance Criteria:\n- Given I am using chat for the first time\n  When I open the chat section\n  Then I am prompted to enable push notifications (if not already enabled)\n- Given I deny notification permission\n  When I continue using chat\n  Then the app works without notifications (degraded experience noted)","","Push Notifications","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-4,fr_FR-4,prio_should,phase_1"
Story,"US-EP4-03 — Dispatcher receives web notification for new message","User Story:\nAs a Dispatcher, I want to receive a browser notification when a driver replies, so that I am aware of new messages while working in EW Office.\n\nScope Notes:\nBrowser notification API; optional enhancement.\n\nPRD Requirement(s): FR-4\n\nDependencies:\n- EP-1\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Design browser notification content\n- Add in-app indicator for new messages (badge, sound, etc.)\nDesign Constraints:\n- Follow browser notification best practices\n\nAcceptance Criteria:\n- Given I have granted notification permission in my browser\n  When a driver sends me a message\n  Then I receive a browser notification\n- Given I click the notification\n  When EW Office is open\n  Then I am navigated to the relevant conversation","","Push Notifications","Could","","initiative_ew-navigation-chat,source_cursor,ep_EP-4,fr_FR-4,prio_could,phase_1"
Story,"US-EP5-01 — Messages are persisted on send","User Story:\nAs a system, I want to persist every message when it is sent, so that conversation history is available for retrieval.\n\nScope Notes:\nBackend storage; encrypted at rest.\n\nPRD Requirement(s): FR-5\n\nDependencies:\n- EP-1\n\nAcceptance Criteria:\n- Given a message is sent\n  When the backend processes it\n  Then it is stored in the message database with timestamp, sender ID, receiver ID, and content\n- Given storage\n  When data is at rest\n  Then it is encrypted","","Message Persistence & History","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-5,fr_FR-5,prio_must,phase_1"
Story,"US-EP5-02 — Conversation history retrieval API","User Story:\nAs a frontend developer, I want an API to retrieve conversation history, so that users can view past messages.\n\nScope Notes:\nPaginated retrieval; supports both driver and dispatcher clients.\n\nPRD Requirement(s): FR-5\n\nDependencies:\n- US-EP5-01\n\nAcceptance Criteria:\n- Given a user requests conversation history\n  When the API is called with conversation ID\n  Then messages are returned in chronological order with pagination support\n- Given a conversation has 500+ messages\n  When retrieved\n  Then pagination ensures acceptable response times (<2s)","","Message Persistence & History","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-5,fr_FR-5,prio_must,phase_1"
Story,"US-EP5-03 — 90-day retention policy implementation","User Story:\nAs a compliance officer, I want messages retained for at least 90 days, so that audit and reference needs are met.\n\nScope Notes:\nRetention policy; deletion after 90 days TBD with Legal.\n\nPRD Requirement(s): FR-5, NFR (Compliance)\n\nDependencies:\n- Legal review\n\nAcceptance Criteria:\n- Given a message is stored\n  When 90 days have passed\n  Then the message is still retrievable (retention met)\n- Given the retention policy\n  When reviewed by Legal\n  Then deletion policy beyond 90 days is documented and implemented\n\nOpen Question:\nWhat is the deletion policy after 90 days? Requires Legal input.","","Message Persistence & History","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-5,fr_FR-5,prio_must,phase_1"
Story,"US-EP5-04 — Audit trail logging","User Story:\nAs a compliance officer, I want an audit trail of all messages (timestamp, sender, receiver), so that communication can be reviewed if needed.\n\nScope Notes:\nLogging only; no admin UI in this story.\n\nPRD Requirement(s): NFR (Compliance)\n\nDependencies:\n- US-EP5-01\n\nAcceptance Criteria:\n- Given a message is sent\n  When stored\n  Then timestamp, sender ID, and receiver ID are logged for audit purposes\n- Given an audit request\n  When logs are queried\n  Then relevant message metadata is retrievable","","Message Persistence & History","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-5,prio_should,phase_1"
Story,"US-EP6-01 — Driver sends image attachment","User Story:\nAs a Company Driver, I want to attach and send an image in a message, so that I can share photos (e.g., delivery proof, damage).\n\nScope Notes:\nImages only; PDFs in US-EP6-03.\n\nPRD Requirement(s): FR-7\n\nDependencies:\n- EP-2, INFRA (storage)\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add attachment button to compose area\n- Image picker and preview before send\nDesign Constraints:\n- File size limit indication\n- Camera and gallery access\n\nAcceptance Criteria:\n- Given I am composing a message\n  When I tap attach and select an image\n  Then the image is attached and uploaded when I send\n- Given file size limits\n  When I attach an image exceeding the limit\n  Then I see an error message and cannot send","","Attachments & Media","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-6,fr_FR-7,prio_should,phase_2"
Story,"US-EP6-02 — Driver views received attachment","User Story:\nAs a Company Driver, I want to view attachments (images, PDFs) sent by the dispatcher, so that I can see documents or instructions.\n\nScope Notes:\nInline preview for images; download for PDFs.\n\nPRD Requirement(s): FR-7\n\nDependencies:\n- US-EP6-01\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Display image thumbnails inline in thread\n- Full-screen image viewer on tap\n- PDF download/open action\nDesign Constraints:\n- Performance with large images\n- Offline handling (if applicable)\n\nAcceptance Criteria:\n- Given a message contains an image\n  When I view the message\n  Then I see a thumbnail and can tap to view full-size\n- Given a message contains a PDF\n  When I tap it\n  Then it downloads or opens in a viewer","","Attachments & Media","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-6,fr_FR-7,prio_should,phase_2"
Story,"US-EP6-03 — Dispatcher sends attachment","User Story:\nAs a Dispatcher, I want to attach and send images or PDFs in a message, so that I can share documents with drivers.\n\nScope Notes:\nImages and PDFs.\n\nPRD Requirement(s): FR-7\n\nDependencies:\n- EP-3, INFRA (storage)\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add attachment button to compose area\n- File picker and preview\nDesign Constraints:\n- File type and size validation\n- Drag-and-drop support (web)\n\nAcceptance Criteria:\n- Given I am composing a message\n  When I click attach and select a file\n  Then the file is attached and uploaded when I send\n- Given file type restrictions\n  When I attach an unsupported file type\n  Then I see an error message","","Attachments & Media","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-6,fr_FR-7,prio_should,phase_2"
Story,"US-EP6-04 — Dispatcher views received attachment","User Story:\nAs a Dispatcher, I want to view attachments sent by drivers, so that I can see photos or documents they share.\n\nScope Notes:\nInline preview for images; download for PDFs.\n\nPRD Requirement(s): FR-7\n\nDependencies:\n- US-EP6-03\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Display image thumbnails inline\n- Lightbox for full-size images\n- Download link for PDFs\nDesign Constraints:\n- Consistent with EW Office file handling patterns\n\nAcceptance Criteria:\n- Given a message contains an image\n  When I view the message\n  Then I see a thumbnail and can click to view full-size\n- Given a message contains a PDF\n  When I click it\n  Then it downloads","","Attachments & Media","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-6,fr_FR-7,prio_should,phase_2"
Story,"US-EP7-01 — Message delivery status tracking","User Story:\nAs a system, I want to track when a message is delivered to the recipient's device, so that senders can see delivery status.\n\nScope Notes:\nBackend tracking; UI display in US-EP7-03/04.\n\nPRD Requirement(s): FR-8\n\nDependencies:\n- EP-1\n\nAcceptance Criteria:\n- Given a message is sent\n  When it reaches the recipient's device\n  Then the status is updated to 'delivered'","","Read Receipts & Status","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-7,fr_FR-8,prio_should,phase_2"
Story,"US-EP7-02 — Message read status tracking","User Story:\nAs a system, I want to track when a message is read by the recipient, so that senders can see read status.\n\nScope Notes:\nTriggered when message is displayed in thread.\n\nPRD Requirement(s): FR-8\n\nDependencies:\n- US-EP7-01\n\nAcceptance Criteria:\n- Given a message is delivered\n  When the recipient views the message\n  Then the status is updated to 'read'","","Read Receipts & Status","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-7,fr_FR-8,prio_should,phase_2"
